Wavelength [nm],Lampe Halogene #0,DEL #2,Bulbe Halogen  #3,DEL #2,Fluorescent tourbillon,DEL Chandelier,Fluorescent Philipps,Globe incandescent,
248.332,40.28,22.87,27.14,-8.19,-5.63,-3.24,-31.4,-52.05,
248.549,148.82,162.13,147.97,172.03,133.63,121.68,148.82,144.55,
248.766,206.16,115.03,268.8,102.4,94.72,213.84,220.5,171.18,
248.983,128.34,102.74,129.53,79.87,45.57,127.83,75.09,-9.05,
249.2,-33.45,102.74,168.45,108.54,68.09,101.2,87.38,89.26,
249.417,42.32,76.12,174.59,116.73,113.15,142.16,109.91,140.46,
249.633,-19.11,45.4,49.66,24.58,49.66,54.1,40.28,76.97,
249.85,34.13,98.64,133.63,83.97,2.56,138.07,124.24,128.17,
250.067,60.76,102.74,139.77,83.97,2.56,68.44,13.65,79.02,
250.284,46.42,49.49,88.57,73.73,6.66,76.63,62.8,95.4,
250.501,91.48,80.21,129.53,65.54,35.33,54.1,-4.78,76.97,
250.717,62.8,55.64,100.86,135.17,43.52,103.25,103.76,152.74,
250.934,-49.83,-48.81,74.24,-14.34,-34.3,25.43,-4.78,13.48,
251.151,58.71,37.2,27.14,-4.1,33.28,88.92,-4.78,87.21,
251.368,38.23,51.54,139.77,47.1,18.94,64.34,38.23,76.97,
251.585,128.34,37.2,129.53,-2.05,68.09,166.74,71,44.2,
251.801,144.72,41.3,107.01,88.06,-5.63,11.09,75.09,79.02,
252.018,-82.6,-48.81,20.99,-6.14,49.66,23.38,136.53,13.48,
252.235,152.92,110.93,174.59,108.54,92.67,131.92,161.11,212.14,
252.451,1.37,16.73,-24.06,-53.25,-56.83,-1.19,-74.41,5.29,
252.668,-66.22,80.21,123.39,-51.2,10.75,58.2,66.9,15.53,
252.885,167.25,72.02,133.63,143.36,76.29,109.4,38.23,183.46,
253.102,32.08,117.08,162.3,22.53,41.47,45.91,36.18,111.78,
253.318,-15.02,41.3,64,69.63,-3.58,-13.48,64.85,33.96,
253.535,56.66,-36.52,55.81,71.68,33.28,86.87,91.48,36.01,
253.752,34.13,33.11,133.63,88.06,-24.06,13.14,60.76,-25.43,
253.968,-15.02,-63.15,141.82,-22.53,37.38,35.67,36.18,-2.9,
254.185,-35.5,-5.8,-3.58,-32.77,-36.35,15.19,-105.13,-27.48,
254.401,77.14,90.45,121.34,139.26,27.14,90.96,71,52.39,
254.618,89.43,24.92,90.62,124.93,53.76,58.2,107.86,23.72,
254.835,48.47,24.92,49.66,26.62,-34.3,31.57,-58.03,-11.09,
255.051,183.63,117.08,199.16,188.41,170.49,93.01,165.2,165.03,
255.268,66.9,76.12,160.25,59.39,109.05,103.25,138.58,64.68,
255.484,36.18,20.82,166.4,63.49,16.9,68.44,42.32,173.22,
255.701,-51.88,0.34,76.29,20.48,117.25,-9.39,34.13,36.01,
255.917,64.85,74.07,100.86,83.97,82.43,138.07,109.91,148.65,
